"Country","STD_REG_INDIVIDUALISM","STD_REG_GINI","STD_REG_RELIGIOSITY","STD_LOG_REG_GDP 2014","STD_SUICIDE GIRLS_REG","Psych Dist Girls","STD_REG_PSYCH DISTRESS GIRLS","STD_Pysch Distress Change Girls","Psych Distress Boys","STD_Pysch Distress Change Boys","Individualism","STD_Individualism","Religiositiy","STD_Religiosity","GINI 2014","STD_GINI 2014","GDP Per Capita 2014","LOG_GDP_2014","STD_LOG_GDP 2014","Suicide Girls","STD_Suicide Change Girls","Boys Suicide","STD_Suicide Change Boys","Suicide Change Girls 5 million+","STD_Suicide_Girls_5mill","Suicide Girls Since 2011-13","Suicide Change Boys 5 million+","STD_Suicide_Boys_5mill","Suicide Boys since 2011-13","Suicide Girls (High Pop)","Suicide Change Boys (High Pop)","Importance of Religion","STD_Suicide_Girls_High Population Size","STD_Suicide_Boys_High Population Size","AC","AD","Individualism Groups","2002 Distress Girls","2006 Psych Distress Girls","Going to Services","Belief in God","Praying Daily","AR","AS","Individualism High or Low","2011-13 Girls Suicide","2017-19 Girls Suicide","Changes in Suic","AX","AY","2011-13 Boys EU Suicide ","2017-19 Boys EU Suicide","BB","BC","Sex_Suicide Countries","2011-13 EU Suicide","2017-19 EU Suicide","BF","Country (2)","Girls Psych Distress 2002-10","Girls Psych Distress 2018","Boys Psych Distress 2002-10","Boys Psych Distress 2018","BL","Country Girls","Sex","Psych Distress 2002-10 Girls","Psych Distress 2018 Girls","BU","Country Boys","BW","Psych Distress 2002-10 Boys","Psych Distress 2018 Boys"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Slovakia",2,6.6,7.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Finland",2,16.9,15.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sweden",2,9.1,9.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Norway",2,9.7,11.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Switzerland",2,10.5,11.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United Kingdom",2,4.7,6.7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Croatia",2,7.2,8.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lithuania",2,23.3,19.7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Netherlands",2,6.1,6.7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poland",2,14.2,9.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Estonia",2,12.5,10.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Czech Republic",2,11.7,16.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spain",2,3.1,3.7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
